[PROBE]
"Digital High Pressure Dilatometer"

[PROJECT DETAILS]
"Contract name",Borehole,Easting,Northing,Elevation
,,,,

[TEST DETAILS]
"Test name","Test date","Depth (M)","Heading (deg)","Data Rate (secs)","Start Line","Stop Line",Material:
B0001T01,24/11/21," 36.70",290,10,1,254,Fels

[COMMENTS]
""

[CALIBRATION FACTORS]
Sensor,"Zero (mV)",Slope,Units,"Zero (kPa)","Slope (kPa/mm)","Compliance (mm/GPa)"
"Arm 1"," -2209.5","   126.1",mV/mm,361.0,11.2,"     1.0"
"Arm 2"," -2176.6","   129.1",mV/mm,361.0,11.2,"     1.0"
"Arm 3"," -2556.4","   131.8",mV/mm,361.0,11.2,"     1.0"
"Arm 4"," -1267.3","   126.7",mV/mm,361.0,11.2,"     1.0"
"Arm 5"," -2673.1","   131.0",mV/mm,361.0,11.2,"     1.0"
"Arm 6","  -838.9","   131.3",mV/mm,361.0,11.2,"     1.0"
"TPC A","   786.1","    69.9",mV/MPa
"TPC B"," -1422.7","    67.2",mV/MPa

[PROBE DIMENSIONS]
"Diameter over  probe","Diameter under membrane","CHL strip thickness"
" 95.00"," 82.00",1.0000

[COMPASS FACTORS (units in millivolts)]
Sensor,Minimum,Maximum
Sine,-2.5148,0.0378
Cosine,-0.8165,1.6079

[DATA IN ENGINEERING UNITS]
"Line No.","Arm 1","TPC 1","Arm 2","TPC 2","Arm 3","TPC 3","Arm 4","TPC 4","Arm 5","TPC 5","Arm 6","TPC 6",Sin,Cosine,"Arm Average","TPC Average"
,(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(V),(V),(mm),(kPa)
121,15.1798,2080.0,11.5301,2080.0,11.5681,2080.0,12.4330,2080.0,10.9702,2080.0,10.9381,2080.0,-1.8131,0.5952,12.1032,2080.0
122,15.2048,2075.5,11.5515,2075.5,11.5844,2075.5,12.4456,2075.5,10.9935,2075.5,10.9571,2075.5,-1.8131,0.5955,12.1228,2075.5
123,15.2254,2069.6,11.5688,2069.6,11.5971,2069.6,12.4568,2069.6,11.0139,2069.6,10.9740,2069.6,-1.8134,0.5955,12.1393,2069.6
124,15.2476,2073.6,11.5888,2073.6,11.6133,2073.6,12.4715,2073.6,11.0378,2073.6,10.9937,2073.6,-1.8136,0.5953,12.1588,2073.6
125,15.2726,2077.7,11.6104,2077.7,11.6296,2077.7,12.4870,2077.7,11.0632,2077.7,11.0149,2077.7,-1.8130,0.5948,12.1796,2077.7
126,15.2976,2083.2,11.6319,2083.2,11.6473,2083.2,12.5032,2083.2,11.0892,2083.2,11.0367,2083.2,-1.8134,0.5960,12.2010,2083.2
127,15.3227,2088.7,11.6534,2088.7,11.6649,2088.7,12.5195,2088.7,11.1153,2088.7,11.0578,2088.7,-1.8133,0.5958,12.2223,2088.7
128,15.3485,2094.1,11.6749,2094.1,11.6833,2094.1,12.5371,2094.1,11.1420,2094.1,11.0804,2094.1,-1.8134,0.5961,12.2444,2094.1
129,15.3743,2099.6,11.6979,2099.6,11.7017,2099.6,12.5548,2099.6,11.1702,2099.6,11.1029,2099.6,-1.8131,0.5958,12.2670,2099.6
130,15.3993,2100.8,11.7180,2100.8,11.7179,2100.8,12.5710,2100.8,11.1941,2100.8,11.1220,2100.8,-1.8133,0.5976,12.2871,2100.8
131,15.4163,2096.4,11.7331,2096.4,11.7285,2096.4,12.5821,2096.4,11.2118,2096.4,11.1375,2096.4,-1.8132,0.5978,12.3015,2096.4
132,15.4340,2096.2,11.7474,2096.2,11.7399,2096.2,12.5939,2096.2,11.2301,2096.2,11.1516,2096.2,-1.8130,0.5976,12.3161,2096.2
133,15.4494,2096.0,11.7618,2096.0,11.7512,2096.0,12.6042,2096.0,11.2463,2096.0,11.1664,2096.0,-1.8133,0.5976,12.3299,2096.0
134,15.4664,2095.9,11.7754,2095.9,11.7625,2095.9,12.6153,2095.9,11.2632,2095.9,11.1798,2095.9,-1.8132,0.5978,12.3438,2095.9
135,15.4819,2095.7,11.7884,2095.7,11.7724,2095.7,12.6256,2095.7,11.2787,2095.7,11.1925,2095.7,-1.8133,0.5979,12.3566,2095.7
136,15.4973,2095.6,11.8006,2095.6,11.7823,2095.6,12.6359,2095.6,11.2942,2095.6,11.2052,2095.6,-1.8130,0.5977,12.3692,2095.6
137,15.5113,2096.9,11.8128,2096.9,11.7915,2096.9,12.6455,2096.9,11.3083,2096.9,11.2171,2096.9,-1.8133,0.5976,12.3811,2096.9
138,15.5253,2096.8,11.8250,2096.8,11.8014,2096.8,12.6543,2096.8,11.3224,2096.8,11.2291,2096.8,-1.8132,0.5975,12.3929,2096.8
139,15.5386,2098.1,11.8365,2098.1,11.8099,2098.1,12.6625,2098.1,11.3365,2098.1,11.2404,2098.1,-1.8132,0.5977,12.4040,2098.1
140,15.5526,2099.4,11.8473,2099.4,11.8191,2099.4,12.6720,2099.4,11.3498,2099.4,11.2517,2099.4,-1.8132,0.5980,12.4154,2099.4
141,15.5651,2099.3,11.8580,2099.3,11.8276,2099.3,12.6809,2099.3,11.3632,2099.3,11.2630,2099.3,-1.8134,0.5979,12.4263,2099.3
142,15.5777,2099.1,11.8688,2099.1,11.8361,2099.1,12.6890,2099.1,11.3773,2099.1,11.2742,2099.1,-1.8131,0.5975,12.4372,2099.1
143,15.5917,2100.4,11.8796,2100.4,11.8439,2100.4,12.6971,2100.4,11.3907,2100.4,11.2855,2100.4,-1.8134,0.5979,12.4481,2100.4
144,15.6042,2101.8,11.8904,2101.8,11.8517,2101.8,12.7059,2101.8,11.4034,2101.8,11.2961,2101.8,-1.8136,0.5979,12.4586,2101.8
145,15.6174,2103.1,11.9004,2103.1,11.8602,2103.1,12.7148,2103.1,11.4168,2103.1,11.3067,2103.1,-1.8135,0.5979,12.4694,2103.1
146,15.6285,2100.1,11.9090,2100.1,11.8666,2100.1,12.7214,2100.1,11.4266,2100.1,11.3145,2100.1,-1.8139,0.5973,12.4778,2100.1
147,15.6343,2084.3,11.9126,2084.3,11.8687,2084.3,12.7229,2084.3,11.4295,2084.3,11.3166,2084.3,-1.8136,0.5977,12.4808,2084.3
148,15.6336,2050.0,11.9112,2050.0,11.8666,2050.0,12.7193,2050.0,11.4260,2050.0,11.3145,2050.0,-1.8135,0.5976,12.4785,2050.0
149,15.6306,2014.3,11.9076,2014.3,11.8624,2014.3,12.7150,2014.3,11.4204,2014.3,11.3110,2014.3,-1.8134,0.5972,12.4745,2014.3
150,15.6276,1975.7,11.9034,1975.7,11.8568,1975.7,12.7085,1975.7,11.4141,1975.7,11.3061,1975.7,-1.8134,0.5972,12.4694,1975.7
151,15.6224,1930.0,11.8962,1930.0,11.8492,1930.0,12.7004,1930.0,11.4029,1930.0,11.2991,1930.0,-1.8134,0.5947,12.4617,1930.0
152,15.6135,1877.2,11.8862,1877.2,11.8386,1877.2,12.6895,1877.2,11.3889,1877.2,11.2878,1877.2,-1.8132,0.5951,12.4508,1877.2
153,15.6024,1824.4,11.8740,1824.4,11.8274,1824.4,12.6785,1824.4,11.3734,1824.4,11.2752,1824.4,-1.8132,0.5949,12.4385,1824.4
154,15.5891,1774.5,11.8590,1774.5,11.8148,1774.5,12.6654,1774.5,11.3573,1774.5,11.2618,1774.5,-1.8132,0.5951,12.4246,1774.5
155,15.5736,1724.6,11.8411,1724.6,11.7993,1724.6,12.6507,1724.6,11.3369,1724.6,11.2457,1724.6,-1.8137,0.5951,12.4079,1724.6
156,15.5499,1659.1,11.8139,1659.1,11.7754,1659.1,12.6280,1659.1,11.3080,1659.1,11.2210,1659.1,-1.8136,0.5950,12.3827,1659.1
157,15.5204,1589.3,11.7817,1589.3,11.7480,1589.3,12.6002,1589.3,11.2756,1589.3,11.1936,1589.3,-1.8134,0.5952,12.3532,1589.3
158,15.4901,1523.9,11.7467,1523.9,11.7185,1523.9,12.5716,1523.9,11.2404,1523.9,11.1647,1523.9,-1.8134,0.5940,12.3220,1523.9
159,15.4568,1459.9,11.7102,1459.9,11.6882,1459.9,12.5401,1459.9,11.2031,1459.9,11.1344,1459.9,-1.8132,0.5943,12.2888,1459.9
160,15.4242,1398.8,11.6716,1398.8,11.6566,1398.8,12.5072,1398.8,11.1622,1398.8,11.1012,1398.8,-1.8135,0.5942,12.2538,1398.8
161,15.3850,1332.0,11.6272,1332.0,11.6214,1332.0,12.4691,1332.0,11.1158,1332.0,11.0632,1332.0,-1.8136,0.5944,12.2136,1332.0
162,15.3444,1268.0,11.5800,1268.0,11.5841,1268.0,12.4303,1268.0,11.0693,1268.0,11.0258,1268.0,-1.8136,0.5943,12.1723,1268.0
163,15.3015,1207.0,11.5307,1207.0,11.5447,1207.0,12.3893,1207.0,11.0235,1207.0,10.9884,1207.0,-1.8132,0.5940,12.1297,1207.0
164,15.2550,1144.6,11.4757,1144.6,11.5011,1144.6,12.3439,1144.6,10.9748,1144.6,10.9475,1144.6,-1.8135,0.5943,12.0830,1144.6
165,15.2084,1083.6,11.4221,1083.6,11.4561,1083.6,12.2979,1083.6,10.9269,1083.6,10.9059,1083.6,-1.8132,0.5942,12.0362,1083.6
166,15.1589,1028.3,11.3670,1028.3,11.4104,1028.3,12.2511,1028.3,10.8796,1028.3,10.8656,1028.3,-1.8131,0.5944,11.9888,1028.3
167,15.1043,967.4,11.3049,967.4,11.3578,967.4,12.1970,967.4,10.8273,967.4,10.8191,967.4,-1.8131,0.5946,11.9350,967.4
168,15.0631,929.2,11.2599,929.2,11.3241,929.2,12.1633,929.2,10.7976,929.2,10.7943,929.2,-1.8127,0.5941,11.9004,929.2
169,15.0602,960.6,11.2592,960.6,11.3261,960.6,12.1662,960.6,10.8018,960.6,10.7984,960.6,-1.8130,0.5943,11.9020,960.6
170,15.0662,1014.9,11.2671,1014.9,11.3359,1014.9,12.1756,1014.9,10.8116,1014.9,10.8061,1014.9,-1.8133,0.5945,11.9104,1014.9
171,15.0788,1080.5,11.2828,1080.5,11.3527,1080.5,12.1924,1080.5,10.8319,1080.5,10.8223,1080.5,-1.8131,0.5946,11.9268,1080.5
172,15.1018,1161.8,11.3121,1161.8,11.3807,1161.8,12.2201,1161.8,10.8636,1161.8,10.8476,1161.8,-1.8131,0.5946,11.9543,1161.8
173,15.1350,1250.1,11.3521,1250.1,11.4165,1250.1,12.2545,1250.1,10.9030,1250.1,10.8800,1250.1,-1.8128,0.5951,11.9902,1250.1
174,15.1728,1341.2,11.3978,1341.2,11.4571,1341.2,12.2925,1341.2,10.9480,1341.2,10.9173,1341.2,-1.8134,0.5948,12.0309,1341.2
175,15.2157,1427.9,11.4479,1427.9,11.5028,1427.9,12.3357,1427.9,11.0015,1427.9,10.9616,1427.9,-1.8135,0.5951,12.0775,1427.9
176,15.2741,1537.4,11.5137,1537.4,11.5632,1537.4,12.3942,1537.4,11.0719,1537.4,11.0208,1537.4,-1.8137,0.5952,12.1397,1537.4
177,15.3504,1675.2,11.5989,1675.2,11.6425,1675.2,12.4725,1675.2,11.1613,1675.2,11.0948,1675.2,-1.8138,0.5956,12.2201,1675.2
178,15.4310,1803.1,11.6884,1803.1,11.7199,1803.1,12.5516,1803.1,11.2543,1803.1,11.1737,1803.1,-1.8139,0.5952,12.3031,1803.1
179,15.5309,1940.7,11.7987,1940.7,11.8142,1940.7,12.6476,1940.7,11.3706,1940.7,11.2710,1940.7,-1.8134,0.5951,12.4055,1940.7
180,15.6632,2075.1,11.9370,2075.1,11.9277,2075.1,12.7643,2075.1,11.5235,2075.1,11.3979,2075.1,-1.8133,0.5954,12.5356,2075.1
181,15.8481,2207.6,12.1151,2207.6,12.0733,2207.6,12.9151,2207.6,11.7391,2207.6,11.5873,2207.6,-1.8137,0.5956,12.7130,2207.6
182,16.0706,2298.3,12.3136,2298.3,12.2320,2298.3,13.0838,2298.3,11.9950,2298.3,11.8065,2298.3,-1.8139,0.5958,12.9169,2298.3
183,16.3045,2376.0,12.5168,2376.0,12.3966,2376.0,13.2709,2376.0,12.2848,2376.0,12.0566,2376.0,-1.8139,0.5959,13.1384,2376.0
184,16.5705,2450.4,12.7483,2450.4,12.5793,2450.4,13.4862,2450.4,12.6282,2450.4,12.3491,2450.4,-1.8139,0.5965,13.3936,2450.4
185,16.8530,2518.8,12.9895,2518.8,12.7708,2518.8,13.7163,2518.8,12.9986,2518.8,12.6665,2518.8,-1.8137,0.5966,13.6658,2518.8
186,17.1350,2573.0,13.2288,2573.0,12.9679,2573.0,13.9546,2573.0,13.3686,2573.0,12.9723,2573.0,-1.8134,0.5969,13.9379,2573.0
187,17.3488,2587.9,13.4131,2587.9,13.1492,2587.9,14.1353,2587.9,13.6226,2587.9,13.1826,2587.9,-1.8137,0.5967,14.1419,2587.9
188,17.4522,2565.3,13.5071,2565.3,13.2586,2565.3,14.2290,2565.3,13.7446,2565.3,13.2847,2565.3,-1.8137,0.5966,14.2460,2565.3
189,17.5199,2550.2,13.5644,2550.2,13.3258,2550.2,14.2903,2550.2,13.8275,2550.2,13.3541,2550.2,-1.8134,0.5967,14.3137,2550.2
190,17.5751,2545.3,13.6137,2545.3,13.3837,2545.3,14.3442,2545.3,13.8998,2545.3,13.4185,2545.3,-1.8136,0.5966,14.3725,2545.3
191,17.6250,2539.0,13.6571,2539.0,13.4318,2539.0,14.3913,2539.0,13.9600,2539.0,13.4703,2539.0,-1.8139,0.5966,14.4226,2539.0
192,17.6704,2542.7,13.6970,2542.7,13.4764,2542.7,14.4356,2542.7,14.0195,2542.7,13.5206,2542.7,-1.8135,0.5966,14.4699,2542.7
193,17.6993,2515.3,13.7202,2515.3,13.5005,2515.3,14.4578,2515.3,14.0458,2515.3,13.5426,2515.3,-1.8135,0.5970,14.4944,2515.3
194,17.7068,2479.5,13.7239,2479.5,13.5062,2479.5,14.4630,2479.5,14.0516,2479.5,13.5490,2479.5,-1.8130,0.5971,14.5001,2479.5
195,17.7082,2442.3,13.7239,2442.3,13.5062,2442.3,14.4623,2442.3,14.0502,2442.3,13.5477,2442.3,-1.8137,0.5969,14.4997,2442.3
196,17.7067,2405.1,13.7218,2405.1,13.5041,2405.1,14.4587,2405.1,14.0467,2405.1,13.5456,2405.1,-1.8139,0.5984,14.4973,2405.1
197,17.7038,2369.4,13.7189,2369.4,13.5013,2369.4,14.4543,2369.4,14.0404,2369.4,13.5414,2369.4,-1.8137,0.5984,14.4933,2369.4
198,17.7007,2328.0,13.7145,2328.0,13.4964,2328.0,14.4477,2328.0,14.0312,2328.0,13.5350,2328.0,-1.8137,0.5989,14.4876,2328.0
199,17.6940,2272.3,13.7073,2272.3,13.4872,2272.3,14.4375,2272.3,14.0165,2272.3,13.5245,2272.3,-1.8136,0.5987,14.4778,2272.3
200,17.6858,2219.5,13.6979,2219.5,13.4767,2219.5,14.4250,2219.5,14.0017,2219.5,13.5132,2219.5,-1.8134,0.5986,14.4667,2219.5
201,17.6746,2165.3,13.6857,2165.3,13.4626,2165.3,14.4096,2165.3,13.9833,2165.3,13.4983,2165.3,-1.8136,0.5988,14.4523,2165.3
202,17.6604,2111.1,13.6691,2111.1,13.4463,2111.1,14.3913,2111.1,13.9614,2111.1,13.4813,2111.1,-1.8138,0.5989,14.4350,2111.1
203,17.6440,2055.5,13.6497,2055.5,13.4280,2055.5,14.3700,2055.5,13.9373,2055.5,13.4615,2055.5,-1.8137,0.5985,14.4151,2055.5
204,17.6216,1990.0,13.6237,1990.0,13.4019,1990.0,14.3415,1990.0,13.9076,1990.0,13.4381,1990.0,-1.8135,0.5986,14.3891,1990.0
205,17.5940,1920.3,13.5920,1920.3,13.3722,1920.3,14.3070,1920.3,13.8708,1920.3,13.4070,1920.3,-1.8135,0.5986,14.3572,1920.3
206,17.5597,1844.9,13.5538,1844.9,13.3362,1844.9,14.2652,1844.9,13.8254,1844.9,13.3701,1844.9,-1.8132,0.5983,14.3184,1844.9
207,17.5210,1768.1,13.5114,1768.1,13.2973,1768.1,14.2211,1768.1,13.7766,1768.1,13.3298,1768.1,-1.8131,0.5981,14.2762,1768.1
208,17.4772,1695.6,13.4639,1695.6,13.2577,1695.6,14.1763,1695.6,13.7249,1695.6,13.2879,1695.6,-1.8128,0.5977,14.2313,1695.6
209,17.4340,1626.1,13.4135,1626.1,13.2153,1626.1,14.1300,1626.1,13.6724,1626.1,13.2440,1626.1,-1.8128,0.5983,14.1849,1626.1
210,17.3886,1559.3,13.3610,1559.3,13.1714,1559.3,14.0823,1559.3,13.6193,1559.3,13.2000,1559.3,-1.8127,0.5982,14.1371,1559.3
211,17.3425,1496.9,13.3064,1496.9,13.1276,1496.9,14.0338,1496.9,13.5654,1496.9,13.1553,1496.9,-1.8129,0.5981,14.0885,1496.9
212,17.2950,1436.0,13.2532,1436.0,13.0831,1436.0,13.9867,1436.0,13.5137,1436.0,13.1107,1436.0,-1.8128,0.5984,14.0404,1436.0
213,17.2527,1384.9,13.2087,1384.9,13.0471,1384.9,13.9493,1384.9,13.4760,1384.9,13.0808,1384.9,-1.8129,0.5984,14.0024,1384.9
214,17.2572,1442.0,13.2130,1442.0,13.0534,1442.0,13.9544,1442.0,13.4844,1442.0,13.0885,1442.0,-1.8129,0.5984,14.0085,1442.0
215,17.2639,1504.9,13.2224,1504.9,13.0632,1504.9,13.9646,1504.9,13.4992,1504.9,13.0991,1504.9,-1.8129,0.5986,14.0187,1504.9
216,17.2758,1564.8,13.2339,1564.8,13.0759,1564.8,13.9785,1564.8,13.5175,1564.8,13.1139,1564.8,-1.8127,0.5982,14.0326,1564.8
217,17.2923,1633.2,13.2533,1633.2,13.0949,1633.2,13.9983,1633.2,13.5450,1633.2,13.1357,1633.2,-1.8131,0.5982,14.0533,1633.2
218,17.3198,1717.3,13.2843,1717.3,13.1225,1717.3,14.0299,1717.3,13.5853,1717.3,13.1675,1717.3,-1.8133,0.5980,14.0849,1717.3
219,17.3533,1804.1,13.3231,1804.1,13.1585,1804.1,14.0674,1804.1,13.6334,1804.1,13.2071,1804.1,-1.8130,0.5985,14.1238,1804.1
220,17.3958,1903.7,13.3721,1903.7,13.2030,1903.7,14.1137,1903.7,13.6914,1903.7,13.2559,1903.7,-1.8135,0.5986,14.1720,1903.7
221,17.4599,2037.4,13.4448,2037.4,13.2708,2037.4,14.1857,2037.4,13.7784,2037.4,13.3281,2037.4,-1.8129,0.5984,14.2446,2037.4
222,17.5455,2182.3,13.5349,2182.3,13.3542,2182.3,14.2782,2182.3,13.8839,2182.3,13.4167,2182.3,-1.8130,0.5986,14.3356,2182.3
223,17.6623,2336.9,13.6539,2336.9,13.4632,2336.9,14.3996,2336.9,14.0306,2336.9,13.5378,2336.9,-1.8130,0.5990,14.4579,2336.9
224,17.8448,2484.9,13.8253,2484.9,13.6215,2484.9,14.5866,2484.9,14.2797,2484.9,13.7376,2484.9,-1.8130,0.5987,14.6492,2484.9
225,18.1056,2609.2,14.0566,2609.2,13.8329,2609.2,14.8541,2609.2,14.6450,2609.2,14.0371,2609.2,-1.8125,0.5993,14.9219,2609.2
226,18.3768,2682.0,14.2788,2682.0,14.0299,2682.0,15.1311,2682.0,15.0078,2682.0,14.3320,2682.0,-1.8122,0.5994,15.1927,2682.0
227,18.5641,2688.7,14.4205,2688.7,14.1555,2688.7,15.3108,2688.7,15.2257,2688.7,14.5068,2688.7,-1.8124,0.5991,15.3639,2688.7
228,18.6333,2656.5,14.4700,2656.5,14.1985,2656.5,15.3764,2656.5,15.3011,2656.5,14.5680,2656.5,-1.8123,0.5995,15.4245,2656.5
229,18.6481,2596.3,14.4774,2596.3,14.2050,2596.3,15.3890,2596.3,15.3132,2596.3,14.5794,2596.3,-1.8124,0.5992,15.4353,2596.3
230,18.6481,2537.7,14.4752,2537.7,14.2008,2537.7,15.3875,2537.7,15.3083,2537.7,14.5766,2537.7,-1.8122,0.5994,15.4328,2537.7
231,18.6414,2463.4,14.4687,2463.4,14.1924,2463.4,15.3787,2463.4,15.2956,2463.4,14.5660,2463.4,-1.8123,0.5995,15.4238,2463.4
232,18.6317,2386.3,14.4593,2386.3,14.1804,2386.3,15.3641,2386.3,15.2773,2386.3,14.5519,2386.3,-1.8124,0.5994,15.4108,2386.3
233,18.6197,2313.5,14.4456,2313.5,14.1656,2313.5,15.3458,2313.5,15.2568,2313.5,14.5335,2313.5,-1.8125,0.5997,15.3945,2313.5
234,18.6009,2235.1,14.4239,2235.1,14.1429,2235.1,15.3200,2235.1,15.2270,2235.1,14.5088,2235.1,-1.8122,0.5991,15.3706,2235.1
235,18.5733,2142.5,14.3929,2142.5,14.1118,2142.5,15.2855,2142.5,15.1887,2142.5,14.4768,2142.5,-1.8125,0.5997,15.3382,2142.5
236,18.5397,2054.2,14.3568,2054.2,14.0772,2054.2,15.2451,2054.2,15.1454,2054.2,14.4406,2054.2,-1.8123,0.6000,15.3008,2054.2
237,18.4994,1960.3,14.3127,1960.3,14.0347,1960.3,15.1966,1960.3,15.0921,1960.3,14.3959,1960.3,-1.8123,0.5998,15.2552,1960.3
238,18.4464,1856.5,14.2557,1856.5,13.9816,1856.5,15.1355,1856.5,15.0247,1856.5,14.3412,1856.5,-1.8121,0.5999,15.1975,1856.5
239,18.3875,1755.6,14.1936,1755.6,13.9242,1755.6,15.0708,1755.6,14.9530,1755.6,14.2809,1755.6,-1.8125,0.5995,15.1350,1755.6
240,18.3137,1643.5,14.1135,1643.5,13.8513,1643.5,14.9920,1643.5,14.8635,1643.5,14.2063,1643.5,-1.8123,0.5994,15.0567,1643.5
241,18.2242,1524.4,14.0119,1524.4,13.7635,1524.4,14.8970,1524.4,14.7548,1524.4,14.1140,1524.4,-1.8122,0.6000,14.9609,1524.4
242,18.1177,1398.3,13.8958,1398.3,13.6630,1398.3,14.7887,1398.3,14.6333,1398.3,14.0117,1398.3,-1.8122,0.5995,14.8517,1398.3
243,18.0068,1285.1,13.7776,1285.1,13.5575,1285.1,14.6754,1285.1,14.5076,1285.1,13.9058,1285.1,-1.8118,0.5994,14.7384,1285.1
244,17.8809,1166.4,13.6442,1166.4,13.4330,1166.4,14.5451,1166.4,14.3585,1166.4,13.7829,1166.4,-1.8119,0.5992,14.6074,1166.4
245,17.7476,1053.5,13.5022,1053.5,13.3015,1053.5,14.4089,1053.5,14.2031,1053.5,13.6565,1053.5,-1.8116,0.5995,14.4700,1053.5
246,17.5713,922.7,13.3080,922.7,13.1099,922.7,14.2051,922.7,13.9530,922.7,13.4412,922.7,-1.8118,0.5996,14.2647,922.7
247,17.1245,657.4,12.8400,657.4,12.6631,657.4,13.7674,657.4,13.4515,657.4,13.0267,657.4,-1.8114,0.5993,13.8122,657.4
248,16.6268,448.2,12.3177,448.2,12.1914,448.2,13.2993,448.2,12.9424,448.2,12.6120,448.2,-1.8104,0.5994,13.3316,448.2
249,14.8225,321.8,11.4629,321.8,11.0392,321.8,11.2952,321.8,11.3771,321.8,11.0408,321.8,-1.8099,0.6000,11.8396,321.8
250,5.8603,350.5,5.0011,350.5,1.9197,350.5,2.2339,350.5,1.3513,350.5,-0.5547,350.5,-1.8099,0.6010,2.6353,350.5
251,-0.2417,204.4,-0.2771,204.4,-0.1091,204.4,-0.3833,204.4,-0.0853,204.4,-0.6189,204.4,-1.8096,0.6010,-0.2859,204.4
252,-0.2376,81.4,-0.2747,81.4,-0.1067,81.4,-0.3808,81.4,-0.0806,81.4,-0.6157,81.4,-1.8096,0.6011,-0.2827,81.4
253,-0.2368,49.9,-0.2731,49.9,-0.1059,49.9,-0.3792,49.9,-0.0783,49.9,-0.6141,49.9,-1.8095,0.6016,-0.2812,49.9
254,-0.2352,45.6,-0.2723,45.6,-0.1044,45.6,-0.3776,45.6,-0.0760,45.6,-0.6126,45.6,-1.8100,0.6016,-0.2797,45.6
